reportDate;country_name_german;cases;deaths;countryCode;population_number;population_density
13-03-2020;Moldova;6;0;;;
14-03-2020;Moldova;12;0;;;
15-03-2020;Moldova;23;0;;;
16-03-2020;Moldova;23;0;;;
17-03-2020;Moldova;30;0;;;
18-03-2020;Moldova;30;1;;;
19-03-2020;Moldova;49;1;;;
20-03-2020;Moldova;66;1;;;
21-03-2020;Moldova;80;1;;;
22-03-2020;Moldova;94;1;;;
23-03-2020;Moldova;109;1;;;
24-03-2020;Moldova;125;1;;;
25-03-2020;Moldova;149;1;;;
26-03-2020;Moldova;177;1;;;
22-01-2020;Italien;0;0;IT;60599936;201
23-01-2020;Italien;0;0;IT;60599936;201
24-01-2020;Italien;0;0;IT;60599936;201
25-01-2020;Italien;0;0;IT;60599936;201
26-01-2020;Italien;0;0;IT;60599936;201
27-01-2020;Italien;0;0;IT;60599936;201
28-01-2020;Italien;0;0;IT;60599936;201
29-01-2020;Italien;0;0;IT;60599936;201
30-01-2020;Italien;0;0;IT;60599936;201
31-01-2020;Italien;2;0;IT;60599936;201
01-02-2020;Italien;2;0;IT;60599936;201
02-02-2020;Italien;2;0;IT;60599936;201
03-02-2020;Italien;2;0;IT;60599936;201
04-02-2020;Italien;2;0;IT;60599936;201
05-02-2020;Italien;2;0;IT;60599936;201
06-02-2020;Italien;2;0;IT;60599936;201
07-02-2020;Italien;3;0;IT;60599936;201
08-02-2020;Italien;3;0;IT;60599936;201
09-02-2020;Italien;3;0;IT;60599936;201
10-02-2020;Italien;3;0;IT;60599936;201
11-02-2020;Italien;3;0;IT;60599936;201
12-02-2020;Italien;3;0;IT;60599936;201
13-02-2020;Italien;3;0;IT;60599936;201
14-02-2020;Italien;3;0;IT;60599936;201
15-02-2020;Italien;3;0;IT;60599936;201
16-02-2020;Italien;3;0;IT;60599936;201
17-02-2020;Italien;3;0;IT;60599936;201
18-02-2020;Italien;3;0;IT;60599936;201
19-02-2020;Italien;3;0;IT;60599936;201
20-02-2020;Italien;3;0;IT;60599936;201
21-02-2020;Italien;20;1;IT;60599936;201
22-02-2020;Italien;62;2;IT;60599936;201
23-02-2020;Italien;155;3;IT;60599936;201
24-02-2020;Italien;229;7;IT;60599936;201
25-02-2020;Italien;322;10;IT;60599936;201
26-02-2020;Italien;453;12;IT;60599936;201
27-02-2020;Italien;655;17;IT;60599936;201
28-02-2020;Italien;888;21;IT;60599936;201
29-02-2020;Italien;1128;29;IT;60599936;201
01-03-2020;Italien;1694;34;IT;60599936;201
02-03-2020;Italien;2036;52;IT;60599936;201
03-03-2020;Italien;2502;79;IT;60599936;201
04-03-2020;Italien;3089;107;IT;60599936;201
05-03-2020;Italien;3858;148;IT;60599936;201
06-03-2020;Italien;4636;197;IT;60599936;201
07-03-2020;Italien;5883;233;IT;60599936;201
08-03-2020;Italien;7375;366;IT;60599936;201
09-03-2020;Italien;9172;463;IT;60599936;201
10-03-2020;Italien;10149;631;IT;60599936;201
11-03-2020;Italien;12462;827;IT;60599936;201
12-03-2020;Italien;15113;827;IT;60599936;201
13-03-2020;Italien;17660;1266;IT;60599936;201
14-03-2020;Italien;21157;1441;IT;60599936;201
15-03-2020;Italien;24747;1809;IT;60599936;201
16-03-2020;Italien;27980;2158;IT;60599936;201
17-03-2020;Italien;31506;2503;IT;60599936;201
18-03-2020;Italien;35713;2978;IT;60599936;201
19-03-2020;Italien;41035;3405;IT;60599936;201
20-03-2020;Italien;47021;4032;IT;60599936;201
21-03-2020;Italien;53578;4825;IT;60599936;201
22-03-2020;Italien;59138;5476;IT;60599936;201
23-03-2020;Italien;63927;6077;IT;60599936;201
24-03-2020;Italien;69176;6820;IT;60599936;201
25-03-2020;Italien;74386;7503;IT;60599936;201
26-03-2020;Italien;80589;8215;IT;60599936;201
22-01-2020;Philippinen;0;0;PH;100981437;294
23-01-2020;Philippinen;0;0;PH;100981437;294
24-01-2020;Philippinen;0;0;PH;100981437;294
25-01-2020;Philippinen;0;0;PH;100981437;294
26-01-2020;Philippinen;0;0;PH;100981437;294
27-01-2020;Philippinen;0;0;PH;100981437;294
28-01-2020;Philippinen;0;0;PH;100981437;294
29-01-2020;Philippinen;0;0;PH;100981437;294
30-01-2020;Philippinen;1;0;PH;100981437;294
31-01-2020;Philippinen;1;0;PH;100981437;294
01-02-2020;Philippinen;1;0;PH;100981437;294
02-02-2020;Philippinen;2;1;PH;100981437;294
03-02-2020;Philippinen;2;1;PH;100981437;294
04-02-2020;Philippinen;2;1;PH;100981437;294
05-02-2020;Philippinen;2;1;PH;100981437;294
06-02-2020;Philippinen;2;1;PH;100981437;294
07-02-2020;Philippinen;3;1;PH;100981437;294
08-02-2020;Philippinen;3;1;PH;100981437;294
09-02-2020;Philippinen;3;1;PH;100981437;294
10-02-2020;Philippinen;3;1;PH;100981437;294
11-02-2020;Philippinen;3;1;PH;100981437;294
12-02-2020;Philippinen;3;1;PH;100981437;294
13-02-2020;Philippinen;3;1;PH;100981437;294
14-02-2020;Philippinen;3;1;PH;100981437;294
15-02-2020;Philippinen;3;1;PH;100981437;294
16-02-2020;Philippinen;3;1;PH;100981437;294
17-02-2020;Philippinen;3;1;PH;100981437;294
18-02-2020;Philippinen;3;1;PH;100981437;294
19-02-2020;Philippinen;3;1;PH;100981437;294
20-02-2020;Philippinen;3;1;PH;100981437;294
21-02-2020;Philippinen;3;1;PH;100981437;294
22-02-2020;Philippinen;3;1;PH;100981437;294
23-02-2020;Philippinen;3;1;PH;100981437;294
24-02-2020;Philippinen;3;1;PH;100981437;294
25-02-2020;Philippinen;3;1;PH;100981437;294
26-02-2020;Philippinen;3;1;PH;100981437;294
27-02-2020;Philippinen;3;1;PH;100981437;294
28-02-2020;Philippinen;3;1;PH;100981437;294
29-02-2020;Philippinen;3;1;PH;100981437;294
01-03-2020;Philippinen;3;1;PH;100981437;294
02-03-2020;Philippinen;3;1;PH;100981437;294
03-03-2020;Philippinen;3;1;PH;100981437;294
04-03-2020;Philippinen;3;1;PH;100981437;294
05-03-2020;Philippinen;3;1;PH;100981437;294
06-03-2020;Philippinen;5;1;PH;100981437;294
07-03-2020;Philippinen;6;1;PH;100981437;294
08-03-2020;Philippinen;10;1;PH;100981437;294
09-03-2020;Philippinen;20;1;PH;100981437;294
10-03-2020;Philippinen;33;1;PH;100981437;294
11-03-2020;Philippinen;49;1;PH;100981437;294
12-03-2020;Philippinen;52;2;PH;100981437;294
13-03-2020;Philippinen;64;5;PH;100981437;294
14-03-2020;Philippinen;111;8;PH;100981437;294
15-03-2020;Philippinen;140;11;PH;100981437;294
16-03-2020;Philippinen;142;12;PH;100981437;294
17-03-2020;Philippinen;187;12;PH;100981437;294
18-03-2020;Philippinen;202;19;PH;100981437;294
19-03-2020;Philippinen;217;17;PH;100981437;294
20-03-2020;Philippinen;230;18;PH;100981437;294
21-03-2020;Philippinen;307;19;PH;100981437;294
22-03-2020;Philippinen;380;25;PH;100981437;294
23-03-2020;Philippinen;462;33;PH;100981437;294
24-03-2020;Philippinen;552;35;PH;100981437;294
25-03-2020;Philippinen;636;38;PH;100981437;294
26-03-2020;Philippinen;707;45;PH;100981437;294
22-01-2020;Großbritannien;0;0;;;
23-01-2020;Großbritannien;0;0;;;
24-01-2020;Großbritannien;0;0;;;
25-01-2020;Großbritannien;0;0;;;
26-01-2020;Großbritannien;0;0;;;
27-01-2020;Großbritannien;0;0;;;
28-01-2020;Großbritannien;0;0;;;
29-01-2020;Großbritannien;0;0;;;
30-01-2020;Großbritannien;0;0;;;
31-01-2020;Großbritannien;2;0;;;
01-02-2020;Großbritannien;2;0;;;
02-02-2020;Großbritannien;2;0;;;
03-02-2020;Großbritannien;2;0;;;
04-02-2020;Großbritannien;2;0;;;
05-02-2020;Großbritannien;2;0;;;
06-02-2020;Großbritannien;2;0;;;
