stateCode,reportDate,cases,deaths,population_number,population_density
DE-NI,2020-03-25,2373,8,7927000,167
DE-NW,2020-03-25,9734,66,17866000,524
DE-RP,2020-03-25,1814,5,4053000,204
DE-SL,2020-03-25,437,3,996000,388
DE-SN,2020-03-25,1128,3,4085000,221
DE-ST,2020-03-25,418,1,2245000,110
DE-SH,2020-03-25,611,2,2859000,181
DE-TH,2020-03-25,466,1,2171000,134
DE-BW,2020-03-26,8580,83,10880000,304
DE-BY,2020-03-26,9487,51,12844000,182
DE-BE,2020-03-26,1937,8,3520000,3948
DE-BB,2020-03-26,569,1,2485000,84
DE-HB,2020-03-26,213,1,671000,1599
DE-HH,2020-03-26,1614,2,1787000,2366
DE-HE,2020-03-26,2195,7,6176000,293
DE-MV,2020-03-26,246,0,1612000,69
DE-NI,2020-03-26,2715,10,7927000,167
DE-NW,2020-03-26,10737,74,17866000,524
DE-RP,2020-03-26,2063,8,4053000,204
DE-SL,2020-03-26,466,3,996000,388
DE-SN,2020-03-26,1360,5,4085000,221
DE-ST,2020-03-26,493,2,2245000,110
DE-SH,2020-03-26,705,3,2859000,181
DE-TH,2020-03-26,558,3,2171000,134
DE-BW,2020-03-27,10272,104,10880000,304
DE-BY,2020-03-27,11220,72,12844000,182
DE-BE,2020-03-27,2152,8,3520000,3948
DE-BB,2020-03-27,680,3,2485000,84
DE-HB,2020-03-27,264,2,671000,1599
DE-HH,2020-03-27,1759,2,1787000,2366
DE-HE,2020-03-27,2470,10,6176000,293
DE-MV,2020-03-27,299,0,1612000,69
DE-NI,2020-03-27,3303,19,7927000,167
DE-NW,2020-03-27,12002,94,17866000,524
DE-RP,2020-03-27,2280,12,4053000,204
DE-SL,2020-03-27,614,6,996000,388
DE-SN,2020-03-27,1507,9,4085000,221
DE-ST,2020-03-27,554,2,2245000,110
DE-SH,2020-03-27,862,4,2859000,181
DE-TH,2020-03-27,633,4,2171000,134
DE-BW,2020-03-28,11510,115,10880000,304
DE-BY,2020-03-28,12737,106,12844000,182
DE-BE,2020-03-28,2337,9,3520000,3948
DE-BB,2020-03-28,766,4,2485000,84
DE-HB,2020-03-28,278,2,671000,1599
DE-HH,2020-03-28,1935,4,1787000,2366
DE-HE,2020-03-28,2844,13,6176000,293
DE-MV,2020-03-28,348,1,1612000,69
DE-NI,2020-03-28,3630,23,7927000,167
DE-NW,2020-03-28,13013,107,17866000,524
DE-RP,2020-03-28,2499,13,4053000,204
DE-SL,2020-03-28,669,6,996000,388
DE-SN,2020-03-28,1719,9,4085000,221
DE-ST,2020-03-28,604,2,2245000,110
DE-SH,2020-03-28,925,4,2859000,181
DE-TH,2020-03-28,703,5,2171000,134
