stateCode,reportDate,source,cases,deaths,population_number,population_density
DE-BB,2020-03-15,ZON/Berliner Morgenpost (via github.com/jgehrcke/covid-19-germany-gae),84,0,2485000,84
DE-HB,2020-03-15,ZON/Berliner Morgenpost (via github.com/jgehrcke/covid-19-germany-gae),53,0,671000,1599
DE-HH,2020-03-15,ZON/Berliner Morgenpost (via github.com/jgehrcke/covid-19-germany-gae),162,0,1787000,2366
DE-HE,2020-03-15,ZON/Berliner Morgenpost (via github.com/jgehrcke/covid-19-germany-gae),286,0,6176000,293
DE-MV,2020-03-15,ZON/Berliner Morgenpost (via github.com/jgehrcke/covid-19-germany-gae),50,0,1612000,69
DE-NI,2020-03-15,ZON/Berliner Morgenpost (via github.com/jgehrcke/covid-19-germany-gae),287,0,7927000,167
DE-NW,2020-03-15,ZON/Berliner Morgenpost (via github.com/jgehrcke/covid-19-germany-gae),1407,0,17866000,524
DE-RP,2020-03-15,ZON/Berliner Morgenpost (via github.com/jgehrcke/covid-19-germany-gae),168,0,4053000,204
DE-SL,2020-03-15,ZON/Berliner Morgenpost (via github.com/jgehrcke/covid-19-germany-gae),32,0,996000,388
DE-SN,2020-03-15,ZON/Berliner Morgenpost (via github.com/jgehrcke/covid-19-germany-gae),130,0,4085000,221
DE-ST,2020-03-15,ZON/Berliner Morgenpost (via github.com/jgehrcke/covid-19-germany-gae),47,0,2245000,110
DE-SH,2020-03-15,ZON/Berliner Morgenpost (via github.com/jgehrcke/covid-19-germany-gae),103,0,2859000,181
DE-TH,2020-03-15,ZON/Berliner Morgenpost (via github.com/jgehrcke/covid-19-germany-gae),51,0,2171000,134
DE-BW,2020-03-16,ZON/Berliner Morgenpost (via github.com/jgehrcke/covid-19-germany-gae),1105,0,10880000,304
DE-BY,2020-03-16,ZON/Berliner Morgenpost (via github.com/jgehrcke/covid-19-germany-gae),1067,0,12844000,182
DE-BE,2020-03-16,ZON/Berliner Morgenpost (via github.com/jgehrcke/covid-19-germany-gae),300,0,3520000,3948
DE-BB,2020-03-16,ZON/Berliner Morgenpost (via github.com/jgehrcke/covid-19-germany-gae),94,0,2485000,84
DE-HB,2020-03-16,ZON/Berliner Morgenpost (via github.com/jgehrcke/covid-19-germany-gae),56,0,671000,1599
DE-HH,2020-03-16,ZON/Berliner Morgenpost (via github.com/jgehrcke/covid-19-germany-gae),260,0,1787000,2366
DE-HE,2020-03-16,ZON/Berliner Morgenpost (via github.com/jgehrcke/covid-19-germany-gae),342,0,6176000,293
DE-MV,2020-03-16,ZON/Berliner Morgenpost (via github.com/jgehrcke/covid-19-germany-gae),51,0,1612000,69
DE-NI,2020-03-16,ZON/Berliner Morgenpost (via github.com/jgehrcke/covid-19-germany-gae),391,0,7927000,167
DE-NW,2020-03-16,ZON/Berliner Morgenpost (via github.com/jgehrcke/covid-19-germany-gae),1541,0,17866000,524
DE-RP,2020-03-16,ZON/Berliner Morgenpost (via github.com/jgehrcke/covid-19-germany-gae),325,0,4053000,204
DE-SL,2020-03-16,ZON/Berliner Morgenpost (via github.com/jgehrcke/covid-19-germany-gae),85,0,996000,388
DE-SN,2020-03-16,ZON/Berliner Morgenpost (via github.com/jgehrcke/covid-19-germany-gae),140,0,4085000,221
DE-ST,2020-03-16,ZON/Berliner Morgenpost (via github.com/jgehrcke/covid-19-germany-gae),77,0,2245000,110
DE-SH,2020-03-16,ZON/Berliner Morgenpost (via github.com/jgehrcke/covid-19-germany-gae),123,0,2859000,181
DE-TH,2020-03-16,ZON/Berliner Morgenpost (via github.com/jgehrcke/covid-19-germany-gae),55,0,2171000,134
DE-BW,2020-03-17,ZON/Berliner Morgenpost (via github.com/jgehrcke/covid-19-germany-gae),1641,6,10880000,304
DE-BY,2020-03-17,ZON/Berliner Morgenpost (via github.com/jgehrcke/covid-19-germany-gae),1352,5,12844000,182
DE-BE,2020-03-17,ZON/Berliner Morgenpost (via github.com/jgehrcke/covid-19-germany-gae),383,0,3520000,3948
DE-BB,2020-03-17,ZON/Berliner Morgenpost (via github.com/jgehrcke/covid-19-germany-gae),114,0,2485000,84
DE-HB,2020-03-17,ZON/Berliner Morgenpost (via github.com/jgehrcke/covid-19-germany-gae),66,0,671000,1599
DE-HH,2020-03-17,ZON/Berliner Morgenpost (via github.com/jgehrcke/covid-19-germany-gae),312,0,1787000,2366
DE-HE,2020-03-17,ZON/Berliner Morgenpost (via github.com/jgehrcke/covid-19-germany-gae),381,0,6176000,293
DE-MV,2020-03-17,ZON/Berliner Morgenpost (via github.com/jgehrcke/covid-19-germany-gae),69,0,1612000,69
DE-NI,2020-03-17,ZON/Berliner Morgenpost (via github.com/jgehrcke/covid-19-germany-gae),563,0,7927000,167
DE-NW,2020-03-17,ZON/Berliner Morgenpost (via github.com/jgehrcke/covid-19-germany-gae),3375,12,17866000,524
DE-RP,2020-03-17,ZON/Berliner Morgenpost (via github.com/jgehrcke/covid-19-germany-gae),435,0,4053000,204
DE-SL,2020-03-17,ZON/Berliner Morgenpost (via github.com/jgehrcke/covid-19-germany-gae),101,0,996000,388
DE-SN,2020-03-17,ZON/Berliner Morgenpost (via github.com/jgehrcke/covid-19-germany-gae),247,0,4085000,221
DE-ST,2020-03-17,ZON/Berliner Morgenpost (via github.com/jgehrcke/covid-19-germany-gae),93,0,2245000,110
DE-SH,2020-03-17,ZON/Berliner Morgenpost (via github.com/jgehrcke/covid-19-germany-gae),145,1,2859000,181
DE-TH,2020-03-17,ZON/Berliner Morgenpost (via github.com/jgehrcke/covid-19-germany-gae),71,0,2171000,134
DE-BW,2020-03-18,ZON/Berliner Morgenpost (via github.com/jgehrcke/covid-19-germany-gae),2184,8,10880000,304
DE-BY,2020-03-18,ZON/Berliner Morgenpost (via github.com/jgehrcke/covid-19-germany-gae),1798,7,12844000,182
DE-BE,2020-03-18,ZON/Berliner Morgenpost (via github.com/jgehrcke/covid-19-germany-gae),519,0,3520000,3948
DE-BB,2020-03-18,ZON/Berliner Morgenpost (via github.com/jgehrcke/covid-19-germany-gae),171,1,2485000,84
DE-HB,2020-03-18,ZON/Berliner Morgenpost (via github.com/jgehrcke/covid-19-germany-gae),66,3,671000,1599
DE-HH,2020-03-18,ZON/Berliner Morgenpost (via github.com/jgehrcke/covid-19-germany-gae),414,1,1787000,2366
DE-HE,2020-03-18,ZON/Berliner Morgenpost (via github.com/jgehrcke/covid-19-germany-gae),547,1,6176000,293
DE-MV,2020-03-18,ZON/Berliner Morgenpost (via github.com/jgehrcke/covid-19-germany-gae),100,0,1612000,69
DE-NI,2020-03-18,ZON/Berliner Morgenpost (via github.com/jgehrcke/covid-19-germany-gae),740,1,7927000,167
DE-NW,2020-03-18,ZON/Berliner Morgenpost (via github.com/jgehrcke/covid-19-germany-gae),4268,13,17866000,524
DE-RP,2020-03-18,ZON/Berliner Morgenpost (via github.com/jgehrcke/covid-19-germany-gae),603,0,4053000,204
DE-SL,2020-03-18,ZON/Berliner Morgenpost (via github.com/jgehrcke/covid-19-germany-gae),101,0,996000,388
DE-SN,2020-03-18,ZON/Berliner Morgenpost (via github.com/jgehrcke/covid-19-germany-gae),296,0,4085000,221
DE-ST,2020-03-18,ZON/Berliner Morgenpost (via github.com/jgehrcke/covid-19-germany-gae),133,0,2245000,110
DE-SH,2020-03-18,ZON/Berliner Morgenpost (via github.com/jgehrcke/covid-19-germany-gae),196,1,2859000,181
DE-TH,2020-03-18,ZON/Berliner Morgenpost (via github.com/jgehrcke/covid-19-germany-gae),87,0,2171000,134
DE-BW,2020-03-19,ZON/Berliner Morgenpost (via github.com/jgehrcke/covid-19-germany-gae),2748,11,10880000,304
DE-BY,2020-03-19,ZON/Berliner Morgenpost (via github.com/jgehrcke/covid-19-germany-gae),2282,13,12844000,182
DE-BE,2020-03-19,ZON/Berliner Morgenpost (via github.com/jgehrcke/covid-19-germany-gae),688,0,3520000,3948
DE-BB,2020-03-19,ZON/Berliner Morgenpost (via github.com/jgehrcke/covid-19-germany-gae),204,0,2485000,84
DE-HB,2020-03-19,ZON/Berliner Morgenpost (via github.com/jgehrcke/covid-19-germany-gae),119,0,671000,1599
DE-HH,2020-03-19,ZON/Berliner Morgenpost (via github.com/jgehrcke/covid-19-germany-gae),506,1,1787000,2366
DE-HE,2020-03-19,ZON/Berliner Morgenpost (via github.com/jgehrcke/covid-19-germany-gae),740,1,6176000,293
DE-MV,2020-03-19,ZON/Berliner Morgenpost (via github.com/jgehrcke/covid-19-germany-gae),133,0,1612000,69
DE-NI,2020-03-19,ZON/Berliner Morgenpost (via github.com/jgehrcke/covid-19-germany-gae),981,0,7927000,167
DE-NW,2020-03-19,ZON/Berliner Morgenpost (via github.com/jgehrcke/covid-19-germany-gae),4971,17,17866000,524
DE-RP,2020-03-19,ZON/Berliner Morgenpost (via github.com/jgehrcke/covid-19-germany-gae),749,0,4053000,204
DE-SL,2020-03-19,ZON/Berliner Morgenpost (via github.com/jgehrcke/covid-19-germany-gae),217,0,996000,388
DE-SN,2020-03-19,ZON/Berliner Morgenpost (via github.com/jgehrcke/covid-19-germany-gae),389,0,4085000,221
DE-ST,2020-03-19,ZON/Berliner Morgenpost (via github.com/jgehrcke/covid-19-germany-gae),152,0,2245000,110
DE-SH,2020-03-19,ZON/Berliner Morgenpost (via github.com/jgehrcke/covid-19-germany-gae),253,0,2859000,181
DE-TH,2020-03-19,ZON/Berliner Morgenpost (via github.com/jgehrcke/covid-19-germany-gae),108,0,2171000,134
DE-BW,2020-03-20,ZON/Berliner Morgenpost (via github.com/jgehrcke/covid-19-germany-gae),3665,17,10880000,304
DE-BY,2020-03-20,ZON/Berliner Morgenpost (via github.com/jgehrcke/covid-19-germany-gae),3107,20,12844000,182
DE-BE,2020-03-20,ZON/Berliner Morgenpost (via github.com/jgehrcke/covid-19-germany-gae),868,1,3520000,3948
DE-BB,2020-03-20,ZON/Berliner Morgenpost (via github.com/jgehrcke/covid-19-germany-gae),265,0,2485000,84
DE-HB,2020-03-20,ZON/Berliner Morgenpost (via github.com/jgehrcke/covid-19-germany-gae),127,0,671000,1599
DE-HH,2020-03-20,ZON/Berliner Morgenpost (via github.com/jgehrcke/covid-19-germany-gae),664,1,1787000,2366
DE-HE,2020-03-20,ZON/Berliner Morgenpost (via github.com/jgehrcke/covid-19-germany-gae),962,2,6176000,293
